name,height_m,height_ft,grid_ref,grid_ref_xy,xcoord,ycoord,munro_id
Sgiath Chuil,920.1,3019,NN462317,NN 46290 31793,246290,731793,45
Sgorr nam Fiannaidh (Aonach Eagach),967.7,3175,NN140583,NN 14044 58304,214044,758304,46
Meall Dearg (Aonach Eagach),952.3,3124,NN161583,NN 16124 58363,216124,758363,47
Stob Dearg (Buachaille Etive Mor),1021.4,3351,NN222542,NN 22265 54254,222265,754254,48
Stob na Broige (Buachaille Etive Mor),953.4,3128,NN190525,NN 19072 52568,219072,752568,49
Stob Dubh (Buachaille Etive Beag),958,3143,NN179535,NN 17910 53541,217910,753541,50
Stob Coire Raineach (Buachaille Etive Beag) ,924.5,3033,NN191547,NN 19140 54796,219140,754796,51
Bidean nam Bian,1149.4,3771,NN143542,NN 14341 54211,214341,754211,52
Stob Coire Sgreamhach,1072,3517,NN154536,NN 15487 53664,215487,753664,53
Sgorr Dhearg (Beinn a' Bheithir),1024,3360,NN056558,NN 05684 55846,205684,755846,54
Sgorr Dhonuill (Beinn a' Bheithir),1001,3284,NN040555,NN 04058 55540,204058,755540,55
Sgurr na h-Ulaidh [Sgor na h-Ulaidh],994,3261,NN111517,NN 11117 51794,211117,751794,56
Beinn Fhionnlaidh,959,3146,NN095497,NN 09508 49769,209508,749769,57
Beinn Sgulaird,937,3074,NN053460,NN 05303 46088,205303,746088,58
Ben Cruachan,1127,3698,NN069304,NN 06962 30472,206962,730472,59
Stob Daimh [Stob Diamh],999.2,3278,NN094308,NN 09482 30858,209482,730858,60
Beinn Eunaich,989,3245,NN135327,NN 13562 32797,213562,732797,61
Beinn a' Chochuill,980,3215,NN109328,NN 10978 32848,210978,732848,62
Beinn nan Aighenan,960,3150,NN148405,NN 14851 40528,214851,740528,63
Ben Starav,1079.5,3542,NN125427,NN 12576 42714,212576,742714,64
Glas Bheinn Mhor,997.7,3273,NN153429,NN 15327 42982,215327,742982,65
Stob Coir' an Albannaich,1044,3425,NN169443,NN 16952 44303,216952,744303,66
Meall nan Eun,928,3045,NN192449,NN 19248 44903,219248,744903,67
Stob Ghabhar,1090,3576,NN230455,NN 23017 45515,223017,745515,68
Stob a' Choire Odhair,945,3100,NN257459,NN 25731 45982,225731,745982,69
